Date,Lake,Satellite Sensor,Bloom Extent (KM2),Bloom Extent (% of Lake Area),Bloom Intensity (µg/L),Bloom Severity (µg/L km2),Valid Pixels (% of Lake Area),Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),Sample Temperature (°C),CTD Temperature (°C),CTD Specific Conductivity (µS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (µE/m2/s),Turbidity (NTU),Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L),Extracted Phycocyanin (µg/L),Chlorophyll_a,Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Soluble Reactive Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),Urea (µg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Dissolved Organic Carbon (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE2,5.5,0.75,Surface,8:42,41.7633,-83.328,10.49,1.55,sunny,0.8,,21.1,263.3,4.6,31.4,7.94,875.0,5.37,<0.1,<0.1,0.65,8.17,76.7,6.9,1.4,17.9,0.47,8.96,0.4,0.05,2.3,0.37,2.02,0.2
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE2,,4.6,Bottom,,,,,,,,,21.1,263.6,4.8,30,7.31,3.0,,<0.1,<0.1,0.65,6.83,,,,,,,,,,,,
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE4,8.71,0.75,Surface,13:48,41.8272,-83.1918,7,0.29,mostly sunny,3,,21.8,243.7,1.7,65.7,9.27,1248.0,1.1,<0.1,<0.1,0.06,3.59,14.9,2.2,0.9,56.1,0.34,10.85,0.88,0.16,1.94,0.22,12.27,1.12
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE6,3.1,0.75,Surface,10:12,41.7068,-83.3852,9.74,0.71,sunny,0.5,,22.6,423.2,11.9,5.1,7.85,529.0,20.6,0.1,0.16,0.27,42.09,202.3,21.0,2.7,7.4,1.73,8.37,2.37,0.37,4.53,1.68,24.53,3.52
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE8,4.67,0.75,Surface,14:34,41.8347,-83.3635,1.94,0.47,partly sunny,2.8,,22.8,327.7,1.3,71.7,7.76,715.0,1.6,<0.1,<0.1,0.38,3.59,43.6,21.4,3.4,38.9,1.02,16.21,0.44,0.07,2.83,0.68,2.42,0.5
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE8,,3.9,Bottom,,,,,,,.,,22.1,334.2,1,78.3,6.86,124.0,,<0.1,<0.1,0.21,3.48,,,,,,,,,,,,
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE9,2.66,0.75,Surface,9:30,41.7173,-83.4222,11.09,0.78,sunny,0.4,,22.7,505.3,11.7,5.4,9.07,340.0,18.4,1.72,1.66,2.92,73.22,215.8,23.6,3.9,31,1.91,12.57,2.48,0.48,5.42,2.36,22.96,4.17
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE12,6.76,0.75,Surface,11:00,41.7039,-83.2543,8.1,0.9,sunny,0.5,,21.6,309.0,8.5,11.9,8.42,1077.0,12.0,<0.1,<0.1,0.7,14.9,91.6,12.4,1.3,119.9,0.77,8.25,1.09,0.19,2.72,0.75,15.02,1.94
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE12,,5.9,Bottom,,,,,,,,,20.9,293.6,9,10.6,6.91,0.0,,<0.1,<0.1,0.34,15.15,,,,,,,,,,,,
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE13,9.15,0.75,Surface,13:07,41.7443,-83.1346,8.94,0.39,sunny,2,,21.4,235.5,2.3,56.2,8.92,1902.0,3.57,<0.1,<0.1,0.06,1.74,24.3,4.3,1.3,36.8,0.41,10.94,0.43,0.09,1.88,0.23,3.92,0.3
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE13,,8.2,Bottom,,,,,,,,,20.0,235.4,2.9,48.3,6.95,11.0,,<0.1,<0.1,0.11,2.47,,,,,,,,,,,,
2016-06-13,Lake Erie,OLCI-S3,136.08,0.51,49.26,6703.63,99.94,WE15,4.67,0.75,Surface,12:10,41.6189,-83.1449,9.87,0.36,sunny,1.8,,20.8,252.1,2,60,7.99,1711.0,3.68,<0.1,<0.1,0.3,4.53,31.3,30.6,1.1,77.8,0.42,11.95,0.45,0.08,2.04,0.33,4.32,0.5
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE2,5.75,0.75,Surface,8:36,41.8249,-83.4028,8.72,0.82,sunny,1,,23.7,315.1,2.4,54.6,6.44,116.0,4.42,<0.1,<0.1,0.12,4.03,62.6,14.9,6.4,68.7,0.73,10.98,0.44,0.09,2.83,0.82,5.54,0.26
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE2,,4.6,Bottom,,,,,,,,,23.1,287.0,2.9,48.1,6.08,7.0,,<0.1,<0.1,0.13,3.2,,,,,,,,,,,,
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE4,8.76,0.75,Surface,13:18,41.826,-83.1928,8.94,0.46,sunny,2.5,,24.2,255.9,1.1,76.8,8.83,1750.0,0.8,<0.1,<0.1,0.11,4.31,12.3,2.7,0.8,10.2,0.4,10.47,0.43,0.08,1.82,0.3,1.5,0.2
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE6,2.87,0.75,Surface,10:05,41.7048,-83.3858,8.71,0.88,sunny,1.2,,25.8,494.0,1.7,64.6,5.67,93.0,2.56,0.6,0.45,0.99,4.25,253.8,67.2,29.9,134.1,1.58,51.01,1.51,0.3,5.06,1.83,6.2,2.37
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE8,4.37,0.75,Surface,14:09,41.8347,-83.368,8.94,0.7,sunny,2.5,,25.0,323.9,0.9,79.7,8.26,1410.0,1.58,<0.1,<0.1,0.2,2.55,29.4,7.1,2,54.3,0.77,9.79,0.69,0.14,2.98,0.76,2.02,0.24
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE8,,3.6,Bottom,,,,,,,,,24.8,323.4,0.9,79,6.55,397.0,,<0.1,<0.1,0.34,2.44,,,,,,,,,,,,
2016-06-27,Lake Erie,OLCI-S3,154.53,0.58,48.97,7567.06,99.93,WE9,2.42,0.75,Surface,9:29,41.7177,-83.4262,8.96,0.86,sunny,0.5,,24.6,475.5,8.8,11.1,4.3,39.0,14.4,<0.1,0.1,4.79,15.87,192.1,32.1,15.3,162.1,2.81,56.44,1.59,0.29,4.55,2.14,16.4,2.17
